/-0.7"
"DP02",23.3,,,,,
"DP02",23.5,"MARITAL STATUS",,,,
"DP02",24.0,"Males 15 years and over","37,832","+/-2,994","100","(X)"
"DP02",25.0,"Never married","14,532","+/-2,269","38.4","+/-4.6"
"DP02",26.0,"Now married, except separated","18,274","+/-1,810","48.3","+/-4.7"
"DP02",27.0,"Separated","1,328","+/-820","3.5","+/-2.1"
"DP02",28.0,"Widowed","501","+/-285","1.3","+/-0.8"
"DP02",29.0,"Divorced","3,197","+/-891","8.5","+/-2.2"
"DP02",29.3,,,,,
"DP02",30.0,"Females 15 years and over","38,428","+/-2,528","
