,,,,,,,,,
"S2507",55.0,"30 percent or more","0.0","+/-0.1",,,,,,,,,,
"S2507",56.0,"Zero or negative income","0.7","+/-0.1",,,,,,,,,,
"S2507",56.3,,,,,,,,,,,,,
"S2507",56.5,"REAL ESTATE TAXES",,,,,,,,,,,,
"S2507",57.0,"Less than $800","14.9","+/-0.2",,,,,,,,,,
"S2507",58.0,"$800 to $1,499","19.5","+/-0.3",,,,,,,,,,
"S2507",59.0,"$1,500 or more","61.7","+/-0.3",,,,,,,,,,
"S2507",60.0,"No real estate taxes paid","3.9","+/-0.2",,,,,,,,,,
"S2507",61.0,"Median (dollars)","1,935","+/-11",,,,,,,,,,
"S2507",61.3,,,,
