P04",122.0,"Not computed","3,674","1,956","*"
"DP04",122.3,,,,
"DP04",122.5,"GROSS RENT",,,
"DP04",123.0,"Renter-occupied units","161,113","156,805",
"DP04",124.0,"Less than $200","3.9%","5.4%","*"
"DP04",125.0,"$200 to $299","6.0%","5.3%",
"DP04",126.0,"$300 to $499","22.0%","20.8%",
"DP04",127.0,"$500 to $749","29.3%","28.9%",
"DP04",128.0,"$750 to $999","12.8%","13.5%",
"DP04",129.0,"$1,000 to $1,499","6.6%","6.9%",
"DP04",130.0,"$1,500 or more","1.5%","2.2%",
"DP04",131.0,"No cash rent","29,031","26,432
