","230","22,809","+/-941","18,532","+/-2,521"
,"230",,,,
"S0201","231","3,579,212","*****","238,743","+/-7,114"
"S0201","232","20,935","+/-292","14,194","+/-555"
,"232",,,,
,"233",,,,
"S0201","233","654,241","+/-7,467","34,209","+/-2,182"
"S0201","234","452,197","+/-8,687","29,208","+/-2,109"
,"235",,,,
"S0201","235","47,909","+/-968","38,847","+/-2,714"
"S0201","236","32,955","+/-567","28,924","+/-1,490"
,"237",,,,
"S0201","237","36,655","+/-547","30,870","+/-1,045"
"S0201","238","27,626","+/-475","25,811"
