","1.9%",
"DP04",14.0,"Mobile home","17.1%","16.7%",
"DP04",15.0,"Boat, RV, van, etc.","0.3%","0.3%",
"DP04",15.3,,,,
"DP04",15.5,"YEAR STRUCTURE BUILT",,,
"DP04",16.0,"Total housing units","783,996","788,579",
"DP04",17.0,"Built 2005 or later","0.9%","1.7%","*"
"DP04",18.0,"Built 2000 to 2004","5.0%","5.6%","*"
"DP04",19.0,"Built 1990 to 1999","16.8%","17.0%",
"DP04",20.0,"Built 1980 to 1989","16.2%","16.3%",
"DP04",21.0,"Built 1970 to 1979","22.2%","20.9%","*"
"DP04",22.0,"Built 1960 to 1969","9.3%","9.4%
