30 percent or more","0.0","+/-1.3",,,,,,,,,,
"S2507",56.0,"Zero or negative income","1.2","+/-1.7",,,,,,,,,,
"S2507",56.3,,,,,,,,,,,,,
"S2507",56.5,"REAL ESTATE TAXES",,,,,,,,,,,,
"S2507",57.0,"Less than $800","51.5","+/-7.7",,,,,,,,,,
"S2507",58.0,"$800 to $1,499","2.5","+/-1.8",,,,,,,,,,
"S2507",59.0,"$1,500 or more","3.1","+/-2.1",,,,,,,,,,
"S2507",60.0,"No real estate taxes paid","42.9","+/-7.1",,,,,,,,,,
"S2507",61.0,"Median (dollars)","128","+/-8",,,,,,,,,,
"S2507",61.3,,,,,,,,,,,,,
"S2507",61.5,"PERC
