ncome Under $10,000",10,0,-,-,1,1,-,2,6
,"$10,000 to $14,999",8,3,-,-,2,-,-,2,1
,"$15,000 to $19,999",10,1,-,-,2,2,1,1,3
,"$20,000 to $24,999",10,1,2,4,3,-,-,-,-
,"$25,000 to $29,999",7,3,-,-,4,-,-,-,-
,"$30,000 to $39,999",19,7,3,-,8,-,-,-,2
,"$40,000 to $49,999",14,9,-,-,2,-,2,-,1
,"$50,000 to $74,999",19,11,1,2,3,-,2,-,0
,"$75,000 to $99,999",18,16,-,-,1,-,1,-,-
,"$100,000 and over",8,6,-,-,2,-,-,-,-
POVERTY STATUS,Below poverty level,8,-,-,-,2,-,1,3,2
,At or above poverty level,114,57,6,6,26,
