39.2","+/-0.3",,,,,,,,,,
"S2507",23.0,"Not computed","0.7","+/-0.1",,,,,,,,,,
"S2507",23.3,,,,,,,,,,,,,
"S2507",23.5,"MONTHLY HOUSING COSTS",,,,,,,,,,,,
"S2507",24.0,"Less than $100","0.6","+/-0.1",,,,,,,,,,
"S2507",25.0,"$100 to $149","1.1","+/-0.1",,,,,,,,,,
"S2507",26.0,"$150 to $199","3.0","+/-0.1",,,,,,,,,,
"S2507",27.0,"$200 to $249","5.3","+/-0.2",,,,,,,,,,
"S2507",28.0,"$250 to $299","8.2","+/-0.2",,,,,,,,,,
"S2507",29.0,"$300 to $349","10.4","+/-0.2",,,,,,,,,,
"S2507",30.0,"$350 to $399","11.3","+/
