85","+/-6,440","39,279","+/-4,043"
"S0201","134","52.3","+/-2.1","58.8","+/-3.3"
"S0201","135","47.7","+/-2.1","41.2","+/-3.3"
,"136",,,,
"S0201","136","32.4","+/-2.3","41.0","+/-5.4"
"S0201","137","34.2","+/-2.5","34.1","+/-4.8"
"S0201","138","33.3","+/-2.0","24.8","+/-3.6"
,"138",,,,
,"139",,,,
"S0201","139","193,690","+/-8,917","51,774","+/-4,482"
"S0201","140","26.0","+/-2.0","N","N"
"S0201","141","34.7","+/-1.8","N","N"
"S0201","142","7.2","+/-1.5","N","N"
"S0201","143","0.9","+/-0.4","N","N"
"S0201","
