8.6%","0.2","38.9%","0.2",
"DP05",24.3,,,,,,
"DP05",25.0,"65 years and over","83,870","1,172","84,581","1,144",
"DP05",26.0,"Male","5.5%","0.1","5.2%","0.1","*"
"DP05",27.0,"Female","7.0%","0.1","7.1%","0.1",
"DP05",27.3,,,,,,
"DP05",27.5,"RACE",,,,,
"DP05",28.0,"Total population","672,919","3,933","685,030","4,218","*"
"DP05",29.0,"One race","664,839","3,989","677,803","4,375","*"
"DP05",30.0,"Two or more races","8,080","1,087","7,227","1,034",
"DP05",30.3,,,,,,
"DP05",31.0,"One race","98.8%","0.2","98.9%"
