e decarboxylase
SMT1519,NULL,1528974,1528096,mevalonate kinase
SMT1520,NULL,1529975,1529250,choline binding protein F
SMT1521,NULL,1530208,1530912,membrane protein, putative
SMT1522,NULL,1531127,1532506,cell division protein FtsA
SMT1523,NULL,1532524,1533780,cell division protein FtsZ
SMT1524,NULL,1533785,1534456,conserved hypothetical protein TIGR00044
SMT1525,NULL,1534466,1534999,ylmF protein
SMT1526,NULL,1534999,1535262,YGGT family protein
SMT1527,NULL,1535268,1536044,ylmH protein
SMT1528,NULL,1536053,15
