,"+/-5.9",,,,,,,,,,
"S2507",23.0,"Not computed","1.6","+/-1.4",,,,,,,,,,
"S2507",23.3,,,,,,,,,,,,,
"S2507",23.5,"MONTHLY HOUSING COSTS",,,,,,,,,,,,
"S2507",24.0,"Less than $100","3.5","+/-2.4",,,,,,,,,,
"S2507",25.0,"$100 to $149","0.6","+/-0.9",,,,,,,,,,
"S2507",26.0,"$150 to $199","1.5","+/-2.0",,,,,,,,,,
"S2507",27.0,"$200 to $249","1.5","+/-1.4",,,,,,,,,,
"S2507",28.0,"$250 to $299","2.7","+/-1.9",,,,,,,,,,
"S2507",29.0,"$300 to $349","1.2","+/-1.0",,,,,,,,,,
"S2507",30.0,"$350 to $399","2.8","+/-1.7",,
