ilable","36.7%","37.6%",
"DP04",60.0,"3 or more vehicles available","30.3%","29.6%",
"DP04",60.3,,,,
"DP04",60.5,"HOUSE HEATING FUEL",,,
"DP04",61.0,"Occupied housing units","583,441","577,755",
"DP04",62.0,"Utility gas","41.4%","42.2%",
"DP04",63.0,"Bottled, tank, or LP gas","19.6%","19.1%",
"DP04",64.0,"Electricity","17.9%","18.6%",
"DP04",65.0,"Fuel oil, kerosene, etc.","2.7%","2.4%",
"DP04",66.0,"Coal or coke","1.0%","0.6%","*"
"DP04",67.0,"Wood","15.1%","15.2%",
"DP04",68.0,"Solar energy","0.2%","0.2%"
