37,29,5,"1,382"
,,Separated,359,10,21,2,325,-,-,-,10,21,2,325
,,Never married,"1,330",64,79,16,"1,171",3,24,7,61,54,9,"1,171"
,AGE OF CHILD,Under 1 year,228,7,17,3,201,-,7,3,7,10,-,201
,,1-2 years,407,25,31,4,346,2,7,2,24,24,3,346
,,3-5 years,520,24,36,6,452,3,10,1,22,26,5,452
,,6-8 years,537,27,18,2,490,3,8,1,24,10,1,490
,,9-11 years,521,13,25,1,482,1,4,1,12,21,-,482
,,12-14 years,646,18,22,6,599,0,10,1,18,13,5,599
,,15-17 years,638,7,14,4,614,1,5,1,6,9,2,614
,PRESENCE OF SIBLINGS,None,"1,308",68
