NULL,1896552,1896001,ribonuclease BN, probable
SMT1944,NULL,1896808,1896686,Na+/H+ antiporter
SMT1945,NULL,1897184,1897771,conserved hypothetical protein
SMT1946,NULL,1898035,1898388,DNA polymerase III, alpha chain
SMT1947,NULL,1899773,1899588,conserved hypothetical protein
SMT1948,NULL,1900730,1900041,transcriptiorepair coupling factor mfd
SMT1949,NULL,NULL,NULL,transcription-repair coupling factor mfd
SMT1950,NULL,1902163,1903092,hypothetical protein
SMT1951,NULL,NULL,NULL,CshA protein
SMT1952,NULL,190561
