 $7,499","N","N","N","N"
"B20005C",32.000,"$7,500 to $9,999","N","N","N","N"
"B20005C",33.000,"$10,000 to $12,499","N","N","N","N"
"B20005C",34.000,"$12,500 to $14,999","N","N","N","N"
"B20005C",35.000,"$15,000 to $17,499","N","N","N","N"
"B20005C",36.000,"$17,500 to $19,999","N","N","N","N"
"B20005C",37.000,"$20,000 to $22,499","N","N","N","N"
"B20005C",38.000,"$22,500 to $24,999","N","N","N","N"
"B20005C",39.000,"$25,000 to $29,999","N","N","N","N"
"B20005C",40.000,"$30,000 to $34,999","N","N","N","N"
"B2
