,,
S0103,49,Same county,6.4,+/-0.3,2.9,+/-0.3,,,,,,,,,,
S0103,50,Different county,3.6,+/-0.1,1.3,+/-0.2,,,,,,,,,,
S0103,51,Same state,2.2,+/-0.1,0.8,+/-0.2,,,,,,,,,,
S0103,52,Different state,1.5,+/-0.1,0.5,+/-0.1,,,,,,,,,,
S0103,53,Abroad,1.1,+/-0.1,0.5,+/-0.1,,,,,,,,,,
S0103,53.3, ,,,,,,,,,,,,,,
S0103,53.5,PLACE OF BIRTH CITIZENSHIP STATUS AND YEAR OF ENTRY,,,,,,,,,,,,,,
S0103,54,Total population,8274527,*****,1012628,+/-870,,,,,,,,,,
S0103,55,Native,5226851,+/-33196,571703,+/-8427,,,,,,,,,,
S0103,56,Forei
