000 to $74,999","N","N","N","N"
"B20005I",24.000,"$75,000 to $99,999","N","N","N","N"
"B20005I",25.000,"$100,000 or more","N","N","N","N"
"B20005I",26.000,"Other:","N","N","N","N"
"B20005I",27.000,"No earnings","N","N","N","N"
"B20005I",28.000,"With earnings:","N","N","N","N"
"B20005I",29.000,"$1 to $2,499 or loss","N","N","N","N"
"B20005I",30.000,"$2,500 to $4,999","N","N","N","N"
"B20005I",31.000,"$5,000 to $7,499","N","N","N","N"
"B20005I",32.000,"$7,500 to $9,999","N","N","N","N"
"B20005I",33.000,"$10,0
