
SMT0677,NULL,630150,629860,conserved hypothetical protein
SMT0678,NULL,630505,630140,conserved hypothetical protein
SMT0679,NULL,631917,630502,ImpB/MucB/SamB family protein
SMT0680,NULL,632603,631920,repressor protein, putative
SMT0681,NULL,634438,633293,membrane protein, putative
SMT0682,NULL,635158,634667,response regulator
SMT0683,NULL,NULL,NULL,BlpS protein, putative
SMT0684,NULL,638477,636201,daunorubicin resistance protein
SMT0685,NULL,638947,638477,putative transcriptional regulator protein
SMT0686,
