TBE,0,0,0,0,0,0,0
,,,Other Oxygenatesc,0,0,0,0,0,0,0
,Unfinished Oilsa,,,"6,034",0,"11,486",0,"1,722","19,242",687
,,Naphthas and Lighter,,"1,795",0,"2,025",0,266,"4,086",146
,,Kerosene and Light Gas Oils,,0,0,0,0,0,0,0
,,Heavy Gas Oils,,"3,038",0,"6,458",0,"1,456","10,952",391
,,Residuum,,"1,201",0,"3,003",0,0,"4,204",150
,Motor Gasoline Blending Components,,,"14,974",7,405,0,"1,275","16,661",595
,,Reformulated,,"7,411",0,0,0,0,"7,411",265
,,,GTAB,195,0,0,0,0,195,7
,,,RBOB for Blending with Ether
