1602",0.0,,,,,,,,,,,,,
"S1602",0.5,,"Linguistically isolated","Margin of Error",,,,,,,,,,
"S1602",1.0,"All households","2.9","+/-0.1",,,,,,,,,,
"S1602",1.5,"Households speaking --",,,,,,,,,,,,
"S1602",2.0,"Spanish","25.1","+/-0.7",,,,,,,,,,
"S1602",3.0,"Other Indo-European languages","16.9","+/-0.5",,,,,,,,,,
"S1602",4.0,"Asian and Pacific Island languages","26.6","+/-1.0",,,,,,,,,,
"S1602",5.0,"Other languages","21.6","+/-1.7",,,,,,,,,,
"S1602",5.3,,,,,,,,,,,,,
"S1602",5.5,"PERCENT IMPUTED",,,,,,,,,,,,
"S1
