,,,,,
11 years ,410,- ,- ,15,395,- ,- ,-,,,,,,,,,
12 years ,631,- ,- ,- ,631,- ,- ,-,,,,,,,,,
13 years ,570,- ,- ,- ,540,30,- ,-,,,,,,,,,
14 years ,494,- ,- ,- ,236,258,- ,-,,,,,,,,,
15 years ,454,- ,- ,- ,10,444,- ,-,,,,,,,,,
16 years ,494,- ,- ,- ,- ,482,12,-,,,,,,,,,
17 years ,352,- ,- ,- ,- ,332,20,-,,,,,,,,,
18 years ,"1,881",- ,- ,- ,- ,311,"1,570",-,,,,,,,,,
19 years ,"2,447",- ,- ,- ,10,96,"2,327",14,,,,,,,,,
20 years ,"2,207",- ,- ,- ,- ,4,"2,189",14,,,,,,,,,
21 years ,"2,285",- ,- ,- ,-
