","92,630","3,331","88,079","3,266",
"DP05",23.0,"Male","41.3%","1.3","36.1%","1.6","*"
"DP05",24.0,"Female","42.8%","1.3","43.5%","1.7",
"DP05",24.3,,,,,,
"DP05",25.0,"65 years and over","25,504","1,507","23,305","1,296",
"DP05",26.0,"Male","9.5%","0.8","8.6%","0.7",
"DP05",27.0,"Female","13.7%","1.0","12.4%","1.0",
"DP05",27.3,,,,,,
"DP05",27.5,"RACE",,,,,
"DP05",28.0,"Total population","110,129","4,595","110,664","4,729",
"DP05",29.0,"One race","108,716","4,666","108,638","4,620",
"DP05",30.0,"Two or mor
