","25.8","+/-6.2",,,,,,,,,,
"S2506",26.0,"3.0 to 3.9","12.0","+/-5.3",,,,,,,,,,
"S2506",27.0,"4.0 or more","14.0","+/-4.2",,,,,,,,,,
"S2506",28.0,"Not computed","0.0","+/-1.1",,,,,,,,,,
"S2506",28.3,,,,,,,,,,,,,
"S2506",28.5,"MONTHLY HOUSING COSTS",,,,,,,,,,,,
"S2506",29.0,"Less than $200","0.0","+/-1.1",,,,,,,,,,
"S2506",30.0,"$200 to $299","0.7","+/-1.2",,,,,,,,,,
"S2506",31.0,"$300 to $399","0.4","+/-0.4",,,,,,,,,,
"S2506",32.0,"$400 to $499","3.8","+/-2.1",,,,,,,,,,
"S2506",33.0,"$500 to $599","12.4","+
