(X)","(X)"
"DP02",66.3,,,,,
"DP02",66.5,"VETERAN STATUS",,,,
"DP02",67.0,"Civilian population 18 years and over","289,975","+/-551","100","(X)"
"DP02",68.0,"Civilian veterans","30,730","+/-1,728","100","(X)"
"DP02",68.3,,,,,
"DP02",68.5,"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION",,,,
"DP02",69.0,"Population 5 years and over","346,970","+/-443","100","(X)"
"DP02",70.0,"With a disability","40,892","+/-2,999","11.8","+/-0.9"
"DP02",70.3,,,,,
"DP02",71.0,"Population 5 to 15 years","54,53
