86,NULL,102794,102582,conserved hypothetical protein
SMT0087,NULL,103009,103578,lipoprotein, putative
SMT0088,NULL,103665,103931,conserved hypothetical protein
SMT0089,NULL,103935,104354,conserved hypothetical protein TIGR00250
SMT0090,NULL,104370,104675,conserved hypothetical protein
SMT0091,NULL,104881,105402,folylpolyglutamate synthase
SMT0092,NULL,105498,106646,FolC family protein
SMT0093,NULL,106643,107194,conserved hypothetical protein
SMT0094,NULL,107213,107452,conserved hypothetical protein
SMT0095,
