tor
SMT0939,NULL,927519,927614,conserved hypothetical protein
SMT0940,NULL,927736,928287,conserved hypothetical protein
SMT0941,NULL,928417,928830,conserved hypothetical protein
SMT0942,NULL,928849,929262,conserved hypothetical protein
SMT0943,NULL,929744,929301,D-tyrosyl-tRNA(Tyr) deacylase
SMT0944,NULL,930319,929774,GTP diphosphokinase (EC 2.7.6.5)
SMT0945,NULL,930587,930309,Unknown
SMT0946,NULL,930988,930587,conserved hypothetical protein subfamily
SMT0947,NULL,NULL,NULL,guanylate kinase
SMT0948,NULL,931
