Two own children under 6,209,121,4,9,1,54,1,13,-,6
,Three or more own children under 6,44,15,1,-,-,18,-,5,1,4
NUMBER OF OWN CHILDREN UNDER 3 YEARS,Without own children under 3,"3,833","1,991",91,89,12,597,36,385,30,601
,One own child under 3,384,240,13,5,1,92,4,25,1,4
,Two or more own children under 3,56,21,2,1,-,18,1,8,-,4



,,,,,,,,,,,
"Black only, Married Couple Family Households",,All Married Couples,Both in Labor Force,,,,Only Husband in Labor Force,,Only Wife in Labor Force,,Neither in Labor
