,,,,,,
18 years ,"2,811",- ,794,422,,,,,,,,,,,,,
19 years ,"4,514",14,"1,484",593,,,,,,,,,,,,,
20 years ,"3,540",14,"1,833",689,,,,,,,,,,,,,
21 years ,"3,135",90,"2,153",762,,,,,,,,,,,,,
22 years ,"1,859",404,"3,019",618,,,,,,,,,,,,,
23 years ,822,821,"3,919",726,,,,,,,,,,,,,
24 years ,640,885,"4,429",620,,,,,,,,,,,,,
25 years and over ,"6,432","7,353","190,451","44,515",,,,,,,,,,,,,
.25 to 29 years ,"1,953","3,337","21,894","3,314",,,,,,,,,,,,,
.30 to 34 years ,988,"1,349","21,705","3,644",,,,,,,
