 ribosomal protein L5
SMT0115,NULL,121154,121339,ribosomal protein S14p/S29e
SMT0116,NULL,121553,121951,ribosomal protein S8
SMT0117,NULL,121945,122049,hypothetical protein
SMT0118,NULL,122143,122679,50S ribosomal protein L6
SMT0119,NULL,122763,123119,ribosomal protein L18
SMT0120,NULL,123137,123631,ribosomal protein S5
SMT0121,NULL,123603,123827,50S ribosomal protein L30-related protein
SMT0122,NULL,123972,124412,ribosomal protein L15
SMT0123,NULL,124425,125735,preprotein translocase, SecY subunit
SMT0124,
