       255","      8.9","  +/-1.2","      6.1","  +/-1.2"
"S0201","         256","      9.4","  +/-0.8","      5.7","  +/-0.9"
"S0201","         257","     21.2","  +/-1.4","     18.2","  +/-1.9"
" ","         257"," "," "," "," "
"S0201","         258","  613,645","+/-4,293","  443,958","+/-3,978"
" ","         259"," "," "," "," "
"S0201","         259","     68.5","  +/-0.8","     76.0","  +/-1.1"
"S0201","         260","     31.5","  +/-0.8","     24.0","  +/-1.1"
" ","         260"," "," "," "," "
"S02
