,degrees,,,,,,,,
WINDSP,9,m/sec,,,,,,,,
AIRTEMP,12,C,
BARPRESS,975,mb,
CLOUDAMT,9,code10,
CLOUD TYPE,7,WMO0500,
WEATHER,60,WMO4677,
TS PROBE,CTD,
TEMPERATURE INSTRUMENT,SEACAT SBE 19plus,
SALINITY INSTRUMENT,SEACAT SBE 19plus,

DETAILS,DEPTH,TEMP,SAL
UNITS,m,C,psu
DECIMAL PLACES,0,3,3
,0,4.318,6.414
,1,4.193,8
,2,3.931,10.992
,3,3.712,14.109
,4,3.427,18.966
,5,2.984,25.451
,6,2.568,29.991
,7,2.326,32.186
,8,2.195,33.275
,9,2.142,33.699
,10,2.119,33.883
,11,2.105,33.994
,12,2.098,34.058
,13,2.093,34.104
,14,
