3,"16,461",531
,,Reformulated,,"5,982",0,0,0,0,"5,982",193
,,,Reformulated Blended with Ether,"5,982",0,0,0,0,"5,982",193
,,,Reformulated Blended with Alcohol,0,0,0,0,0,0,0
,,,Reformulated (Non-Oxygenated),0,0,0,0,0,0,0
,,Conventional,,"9,313",94,"1,039",0,33,"10,479",338
,,,Conventional Blended with Alcohol,0,13,0,0,0,13,0
,,,Conventional Other,"9,313",81,"1,039",0,33,"10,466",338
,Finished Aviation Gasoline,,,0,1,0,1,0,2,0
,Kerosene-Type Jet Fuel,,,"3,113",0,826,63,"2,727","6,729",217
,,Bonded A
