",             ""
  "55",          51336
    "",             ""
  "56",           -172
  "57",         "(17)"
  "58",         "(17)"
  "59",         "(17)"
  "60",            -63
  "61",         "(17)"
  "62",         "(17)"
    "",             ""
  "63",          51508
  "64",          27975
  "65",         "(17)"
  "66",          18579
  "67",              0
  "68",           7080
  "69",         "(17)"
    "",             ""
  "70",          18620
    "",             ""
    "",      
