",140.0,"Not computed","30,823","27,886",
"DP05",0.0,,,,
"DP05",0.5,,,,
"DP05",0.8,,,,
"DP05",1.0,"Total population","1,534,656","1,537,907",
"DP05",2.0,"Male","50.5%","50.5%",
"DP05",3.0,"Female","49.5%","49.5%",
"DP05",3.3,,,,
"DP05",4.0,"Under 5 years","6.5%","6.5%",
"DP05",5.0,"5 to 9 years","6.3%","6.2%",
"DP05",6.0,"10 to 14 years","7.2%","7.1%",
"DP05",7.0,"15 to 19 years","8.1%","7.7%",
"DP05",8.0,"20 to 24 years","6.5%","6.3%",
"DP05",9.0,"25 to 34 years","10.9%","11.3%",
"DP05",10.0,"35 to 44 year
