-4,785"
,"235",,,,
"S0201","235","67,286","+/-949","84,272","+/-4,082"
"S0201","236","50,595","+/-641","55,916","+/-2,414"
,"237",,,,
"S0201","237","51,316","+/-331","63,062","+/-2,659"
"S0201","238","41,761","+/-344","45,554","+/-1,559"
,"238",,,,
,"239",,,,
"S0201","239","5.3","+/-0.3","2.3","+/-0.6"
"S0201","240","7.6","+/-0.6","3.6","+/-1.3"
"S0201","241","7.7","+/-1.3","5.4","+/-3.3"
"S0201","242","1.9","+/-0.2","1.5","+/-0.4"
"S0201","243","1.8","+/-0.3","1.8","+/-0.9"
"S0201","244","1.8","+/-0.7","3.
