$10,000","N","N","N","N"
"B19037C",38.000,"$10,000 to $14,999","N","N","N","N"
"B19037C",39.000,"$15,000 to $19,999","N","N","N","N"
"B19037C",40.000,"$20,000 to $24,999","N","N","N","N"
"B19037C",41.000,"$25,000 to $29,999","N","N","N","N"
"B19037C",42.000,"$30,000 to $34,999","N","N","N","N"
"B19037C",43.000,"$35,000 to $39,999","N","N","N","N"
"B19037C",44.000,"$40,000 to $44,999","N","N","N","N"
"B19037C",45.000,"$45,000 to $49,999","N","N","N","N"
"B19037C",46.000,"$50,000 to $59,999","N","N","N","N"
"
