%","2.9%","*"
"DP02",8.0,"Female householder, no husband present, family","8.7%","9.6%","*"
"DP02",9.0,"With own children under 18 years","5.4%","5.8%",
"DP02",10.0,"Nonfamily households","32.3%","31.1%",
"DP02",11.0,"Householder living alone","27.5%","26.3%","*"
"DP02",12.0,"65 years and over","10.7%","10.0%",
"DP02",12.3,,,,
"DP02",13.0,"Households with one or more people under 18 years","32.1%","32.3%",
"DP02",14.0,"Households with one or more people 65 years and over","27.1%","26.6%",
"DP02",14.3,,,,
"D
