5,3,1
,Without own children under 3 years,5,3,1
,Without own children under 1 year,5,3,1
,Without own children 3-5 years,5,3,1
,Without own children 6-11 years,5,3,1
,Without own children 12-17 years,5,3,1
,Without own children 6-17 years,5,3,1
"COUPLES W/OWN CHILDREN, SPECIFIC AGES",No own children under 18,5,3,1
"OWN CHILDREN, SELECTED AGES",No own children under 18,5,3,1
NUMBER OF OWN CHILDREN UNDER 18 YEARS,Without own children under 18,5,3,1
NUMBER OF OWN CHILDREN 6-17 YEARS,Without own child
