,1,26,7,9,9,95
,"$10,000 to $14,999",150,14,6,4,2,23,5,22,4,69
,"$15,000 to $19,999",194,17,4,2,2,42,6,32,4,85
,"$20,000 to $24,999",235,31,8,20,-,67,3,40,-,67
,"$25,000 to $29,999",237,68,10,9,-,52,3,32,2,61
,"$30,000 to $39,999",497,213,11,5,5,103,3,66,4,87
,"$40,000 to $49,999",528,288,22,15,-,109,-,54,-,40
,"$50,000 to $74,999",999,639,23,21,3,142,8,101,8,56
,"$75,000 to $99,999",609,465,6,11,-,71,-,36,-,20
,"$100,000 and over",661,504,17,6,-,72,6,27,0,28
POVERTY STATUS,Below poverty level,330
