%","1.1","17.2%","1.1",
"DP02",20.0,"Child","20.9%","1.5","22.3%","1.2",
"DP02",21.0,"Other relatives","5.3%","1.0","6.8%","1.7",
"DP02",22.0,"Nonrelatives","6.8%","1.1","7.8%","1.2",
"DP02",23.0,"Unmarried partner","1.8%","0.4","3.3%","0.5","*"
"DP02",23.3,,,,,,
"DP02",23.5,"MARITAL STATUS",,,,,
"DP02",24.0,"Males 15 years and over","46,979","2,173","41,272","1,952","*"
"DP02",25.0,"Never married","31.6%","2.5","29.8%","2.8",
"DP02",26.0,"Now married, except separated","45.7%","2.5","50.0%","2.6",
"DP02",2
