NULL,363174,363908,ABC transporter, ATP-binding protein
SMT0369,NULL,364074,365936,transporter, putative
SMT0370,NULL,366017,367591,SalK, putative
SMT0371,NULL,367572,368168,SalR
SMT0372,NULL,368212,368484,conserved hypothetical protein
SMT0373,NULL,368484,368864,rhodanese-like domain protein
SMT0374,NULL,368952,369179,hypothetical protein
SMT0375,NULL,369947,369222,conserved hypothetical protein subfamily, putative
SMT0376,NULL,370109,371950,GTP-binding protein TypA
SMT0377,NULL,371970,372224,conserved hyp
