.0","+/-3.3"
"S0201","276","44.1","+/-0.5","56.2","+/-3.3"
"S0201","277","1.4","+/-0.1","0.6","+/-0.3"
"S0201","278","0.2","+/-0.1","0.3","+/-0.3"
,"278",,,,
,"279",,,,
"S0201","279","9.1","+/-0.3","21.7","+/-2.8"
"S0201","280","1.9","+/-0.2","16.7","+/-2.1"
,"280",,,,
"S0201","281","2,285,179","+/-17,167","34,994","+/-3,218"
,"282",,,,
"S0201","282","71.8","+/-0.5","53.5","+/-4.5"
"S0201","283","28.2","+/-0.5","46.5","+/-4.5"
,"283",,,,
,"284",,,,
"S0201","284","156,800","+/-863","131,800","+/-6,771"
"S020
