4 years","4.3%","0.2","4.2%","0.2",
"DP05",14.0,"65 to 74 years","4.3%","0.1","4.6%","0.1","*"
"DP05",15.0,"75 to 84 years","2.2%","0.1","2.5%","0.1","*"
"DP05",16.0,"85 years and over","0.8%","0.1","1.1%","0.1","*"
"DP05",16.3,,,,,,
"DP05",17.0,"Median age (years)","34.7","**","35.2","**",
"DP05",17.3,,,,,,
"DP05",18.0,"18 years and over","74.4%","0.5","74.4%","0.2",
"DP05",19.0,"21 years and over","70.6%","0.5","70.4%","0.3",
"DP05",20.0,"62 years and over","9.8%","0.3","10.6%","0.2","*"
"DP05",21.0,"65 y
