3",98.5,0.0,0.0,0.0,1.5,
New Hampshire,2,690,92.0,0.0,0.0,0.0,8.0,,,
New Jersey,20,"375,488",55.9,23.7,1.8,17.5,1.1,,,
New Mexico,3,"9,772",96.9,0.0,0.0,0.0,3.1,,,
New York,38,"3,121,001",37.6,55.9,0.2,5.6,0.7,,,
North Carolina,12,"36,721",95.3,0.0,0.0,0.0,4.7,,,
North Dakota,3,"1,537",81.5,0.0,0.0,0.0,18.5,,,
Ohio,18,"136,384",88.8,6.0,3.3,0.0,1.9,,,
Oklahoma,2,"8,922",95.8,0.0,0.0,0.0,4.2,,,
Oregon,4,"105,246",75.3,0.0,23.7,0.0,1.0,,,
Pennsylvania,23,"427,509",60.8,20.4,7.6,7.2,4.0,,,
Puerto Ri
