",
"DP04",23.0,"Built 1950 to 1959","8.1%","7.5%",
"DP04",24.0,"Built 1940 to 1949","5.9%","5.6%",
"DP04",25.0,"Built 1939 or earlier","15.7%","16.0%",
"DP04",25.3,,,,
"DP04",25.5,"ROOMS",,,
"DP04",26.0,"Total housing units","783,996","788,579",
"DP04",27.0,"1 room","3.0%","2.7%",
"DP04",28.0,"2 rooms","3.5%","3.3%",
"DP04",29.0,"3 rooms","9.0%","8.7%",
"DP04",30.0,"4 rooms","19.1%","19.7%",
"DP04",31.0,"5 rooms","24.2%","24.6%",
"DP04",32.0,"6 rooms","17.1%","17.0%",
"DP04",33.0,"7 rooms","10.6%","10.3%",
