d","Margin of Error",,,,,,,,,,
"S1602",1.0,"All households","1.4","+/-0.3",,,,,,,,,,
"S1602",1.5,"Households speaking --",,,,,,,,,,,,
"S1602",2.0,"Spanish","29.2","+/-5.9",,,,,,,,,,
"S1602",3.0,"Other Indo-European languages","4.6","+/-3.4",,,,,,,,,,
"S1602",4.0,"Asian and Pacific Island languages","45.7","+/-17.1",,,,,,,,,,
"S1602",5.0,"Other languages","6.7","+/-11.2",,,,,,,,,,
"S1602",5.3,,,,,,,,,,,,,
"S1602",5.5,"PERCENT IMPUTED",,,,,,,,,,,,
"S1602",6.0,"Language status","2.7","(X)",,,,,,,,,,
"S1602",7.
