707,          88549
  "35",         -4898,         -1026,          84230
  "36",         40656,         13432,         643243
  "37",          1714,          2185,          55033
  "38",         -5261,        -10858,         137987
  "39",           944,         -3374,          73011
  "40",          -163,            93,           4436
  "41",         -1780,          1096,          23504
    "",            "",            "",             ""
    "",            "",            "",             ""
    "
