201166,CD86-7/07-BC4,,200047
201204,CD86-4/04-BC4,,200049
203040,F,,200050
203062,A,,200051
203070,OMEX-I,,200052
203082,B,,200053
203090,OMEX-II,,200054
203110,D,,200055
206004,B1,,200056
206014,OMEX-I,,200057
206024,A,,200058
206048,IOS,,200059
206054,IOS,,200060
206056,E,,200061
206066,OMEX-III,,200062
206072,F,,200063
206088,OMEX-III,,200064
206094,OMEX-II,,200065
206264,079401,,200066
203054,PLG93/A2,,200078
203084,PLG93/B,,200083
203112,PLG93/D,,200090
200960,CD86-1/01-BC2,,20009
