.3","13.0%","0.3",
"DP05",12.0,"55 to 59 years","6.0%","0.5","6.4%","0.4",
"DP05",13.0,"60 to 64 years","7.1%","0.5","6.2%","0.4",
"DP05",14.0,"65 to 74 years","11.0%","0.1","11.5%","0.2","*"
"DP05",15.0,"75 to 84 years","7.8%","0.3","7.3%","0.3",
"DP05",16.0,"85 years and over","2.0%","0.3","2.2%","0.3",
"DP05",16.3,,,,,,
"DP05",17.0,"Median age (years)","42.7","**","41.5","**","*"
"DP05",17.3,,,,,,
"DP05",18.0,"18 years and over","77.5%","0.2","77.7%","0.2",
"DP05",19.0,"21 years and over","74.6%","0.5","
