ears and over","7.3%","0.2","8.2%","0.1","*"
"DP05",21.3,,,,,,
"DP05",22.0,"18 years and over","507,965","5,300","508,485","3,286",
"DP05",23.0,"Male","36.1%","0.4","35.7%","0.2",
"DP05",24.0,"Female","38.2%","0.4","38.8%","0.2",
"DP05",24.3,,,,,,
"DP05",25.0,"65 years and over","49,811","1,285","56,301","651","*"
"DP05",26.0,"Male","3.0%","0.1","3.3%","0.1","*"
"DP05",27.0,"Female","4.3%","0.1","4.9%","0.1","*"
"DP05",27.3,,,,,,
"DP05",27.5,"RACE",,,,,
"DP05",28.0,"Total population","682,943","8,517","683,
