4",94.0,"$700 to $999","14.9%","14.5%",
"DP04",95.0,"$1,000 to $1,499","15.3%","15.5%",
"DP04",96.0,"$1,500 to $1,999","6.2%","6.8%",
"DP04",97.0,"$2,000 or more","5.5%","5.7%",
"DP04",98.0,"Median (dollars)","1,010","1,023",
"DP04",99.0,"Housing units without a mortgage","197,493","192,908",
"DP04",100.0,"Less than $100","2.4%","2.5%",
"DP04",101.0,"$100 to $199","7.7%","9.0%","*"
"DP04",102.0,"$200 to $299","13.9%","13.5%",
"DP04",103.0,"$300 to $399","10.9%","9.7%","*"
"DP04",104.0,"$400 or more","11.9%"
