             ""
  "13",         29053,          4140,         318296
  "14",           874,          1056,          29448
    "",            "",            "",             ""
  "15",         15384,         28030,         600579
  "16",         -3547,          7217,          66403
    "",            "",            "",             ""
  "17",        -30702,          1349,         111683
  "18",         -4472,        -11619,         189897
    "",            "",            "",             ""
  "19",  
