on,"6,581","5,694",556,159,93,17,38,23
.Transportation and material moving,"6,875","5,777",695,189,89,26,62,37
16 to 24 years,,,,,,,,
.Employed civilians,"9,618","7,168","1,495",433,253,59,162,48
".Management, business, and financial",355,246,50,28,15,3,7,5
.Professional,822,566,160,41,19,2,33,2
.Service,2525,1942,387,83,53,12,38,10
.Sales,"1,287",981,183,62,29,6,18,8
.Office and Administrative support,997,788,132,37,19,13,7,1
".Farming, fishing, and forestry",158,104,26,17,5,-,1,3
.Construction and extract
