10,189","1,685","13,726","1,893",
"DP02",72.0,"With a disability","4.3%","2.4","3.6%","1.3",
"DP02",72.3,,,,,,
"DP02",73.0,"Population 16 to 64 years","66,421","3,440","65,868","3,065",
"DP02",74.0,"With a disability","11.8%","1.5","15.2%","1.8",
"DP02",74.3,,,,,,
"DP02",75.0,"Population 65 years and over","24,471","1,498","22,909","1,300",
"DP02",76.0,"With a disability","38.4%","3.2","40.5%","3.0",
"DP02",76.3,,,,,,
"DP02",76.5,"RESIDENCE 1 YEAR AGO",,,,,
"DP02",77.0,"Population 1 year and over","108,854"
