      1394126
    "",            "",            "",             ""
   "3",          6590,         30173,        1316306
    "",            "",            "",             ""
    "",            "",            "",             ""
   "4",        -33768,         -4142,         348227
   "5",          -239,           -51,           1061
   "6",          5098,           918,           6367
   "7",         -1775,           625,         495793
   "8",         37274,         32823,         464858
    "",    
