999","9.4%","11.0%","*"
"DP04",86.0,"$500,000 to $999,999","5.3%","5.7%",
"DP04",87.0,"$1,000,000 or more","2.7%","3.1%",
"DP04",88.0,"Median (dollars)","134,700","144,900","*"
"DP04",88.3,,,,
"DP04",88.5,"MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS",,,
"DP04",89.0,"Owner-occupied units","422,328","420,950",
"DP04",90.0,"Housing units with a mortgage","224,835","228,042",
"DP04",91.0,"Less than $300","0.5%","0.4%",
"DP04",92.0,"$300 to $499","3.1%","2.9%",
"DP04",93.0,"$500 to $699","7.7%","8.3%",
"DP0
