",76.0,"1.00 or less","96.4%","96.3%",
"DP04",77.0,"1.01 to 1.50","2.8%","2.7%",
"DP04",78.0,"1.51 or more","0.9%","1.1%",
"DP04",78.3,,,,
"DP04",78.5,"VALUE",,,
"DP04",79.0,"Owner-occupied units","422,328","420,950",
"DP04",80.0,"Less than $50,000","14.6%","13.3%","*"
"DP04",81.0,"$50,000 to $99,999","23.5%","20.8%","*"
"DP04",82.0,"$100,000 to $149,999","18.2%","17.4%",
"DP04",83.0,"$150,000 to $199,999","13.2%","14.2%",
"DP04",84.0,"$200,000 to $299,999","13.0%","14.5%","*"
"DP04",85.0,"$300,000 to $499,
