","4.1","+/-0.1","5.4","+/-1.1"
"S0201","155","6.3","+/-0.2","7.7","+/-1.6"
"S0201","156","0.4","+/-0.1","1.5","+/-0.5"
"S0201","157","34.5","+/-0.3","28.6","+/-2.1"
,"157",,,,
"S0201","158","2,375,843","+/-3,271","49,777","+/-1,441"
"S0201","159","60.0","+/-0.4","61.7","+/-3.6"
"S0201","160","59.9","+/-0.4","60.6","+/-3.5"
"S0201","161","56.2","+/-0.4","55.4","+/-3.9"
"S0201","162","3.7","+/-0.2","5.2","+/-1.5"
"S0201","163","6.2","+/-0.3","8.6","+/-2.6"
,"163",,,,
,"164",,,,
"S0201","164","2,741,377","+/-
