","12.2","+/-0.5",,,,,,,,,,
"S2506",27.0,"4.0 or more","68.7","+/-0.9",,,,,,,,,,
"S2506",28.0,"Not computed","0.5","+/-0.1",,,,,,,,,,
"S2506",28.3,,,,,,,,,,,,,
"S2506",28.5,"MONTHLY HOUSING COSTS",,,,,,,,,,,,
"S2506",29.0,"Less than $200","0.3","+/-0.1",,,,,,,,,,
"S2506",30.0,"$200 to $299","0.2","+/-0.1",,,,,,,,,,
"S2506",31.0,"$300 to $399","0.5","+/-0.1",,,,,,,,,,
"S2506",32.0,"$400 to $499","0.8","+/-0.2",,,,,,,,,,
"S2506",33.0,"$500 to $599","1.1","+/-0.2",,,,,,,,,,
"S2506",34.0,"$600 to $699","1.3","+
