977,NULL,1923252,1922998,conserved hypothetical protein
SMT1978,NULL,1923509,1923949,SPFH domain/Band 7 family
SMT1979,NULL,1924495,1924235,Mrp protein
SMT1980,NULL,1924899,1924783,serine proteinase
SMT1981,NULL,NULL,NULL,conserved hypothetical protein TIGR00246
SMT1982,NULL,1926319,1925705,pullulanase, probable
SMT1983,NULL,1926612,1926863,CshA protein
SMT1984,NULL,1927653,1928207,hypothetical protein
SMT1985,NULL,1929113,1929544,GtrA family protein
SMT1986,NULL,1929654,1929830,large conductance mechanosen
