1602",3.0,"Other Indo-European languages","13.6","+/-5.3",,,,,,,,,,
"S1602",4.0,"Asian and Pacific Island languages","22.8","+/-11.2",,,,,,,,,,
"S1602",5.0,"Other languages","4.0","+/-7.2",,,,,,,,,,
"S1602",5.3,,,,,,,,,,,,,
"S1602",5.5,"PERCENT IMPUTED",,,,,,,,,,,,
"S1602",6.0,"Language status","2.0","(X)",,,,,,,,,,
"S1602",7.0,"Language status (speak a language other than English)","2.2","(X)",,,,,,,,,,
"S1602",8.0,"Ability to speak English","2.9","(X)",,,,,,,,,,
"S1603",0.0,,,,,,,,,,,,,
"S1603",0.5,,,,,,"
