0207,NULL,205611,207863,penicilin-binding protein
SMT0208,NULL,207865,208845,phospho-N-acetylmuramoyl-pentapeptide-transferase
SMT0209,NULL,209004,209102,hypothetical protein
SMT0210,NULL,209180,211285,ATPase, AAA family domain protein
SMT0211,NULL,211961,211344,autoinducer-2 production protein LuxS
SMT0212,NULL,213405,211921,conserved hypothetical protein
SMT0213,NULL,213558,215165,glucan 1,6-alpha-glucosidase
SMT0214,NULL,215361,217319,aliB protein
SMT0215,NULL,217509,218954,CpsA protein
SMT0216,NULL,2189
