,-,-,15,51,-25,-19,61,0,0
,,Conventional,-,-,33,8,3,-2,44,0,0
,Aviation Gasoline Blend. Comp.,,-,-,0,0,-,0,0,0,0
Finished Petroleum Products,,,-,"2,954",117,113,25,5,-,213,"2,992"
,Finished Motor Gasoline,,-,"1,489",23,97,25,17,-,11,"1,606"
,,Reformulated,-,"1,084",0,14,26,10,-,6,"1,107"
,,Conventional,-,405,23,83,0,7,-,6,499
,Finished Aviation Gasoline,,-,1,0,1,-,0,-,0,2
,Kerosene-Type Jet Fuel,,-,430,34,6,-,-18,-,24,464
,Kerosene,,-,1,0,0,-,0,-,0,1
,Distillate Fuel Oil,,-,500,22,10,-,-7,-,17,521
